Nível,Unidade da Federação,2017,2018,2019
UF,Rondônia,1805788,1757589,1777225
UF,Acre,829619,869265,881935
UF,Amazonas,4063614,4080611,4144597
UF,Roraima,522636,576568,605761
UF,Pará,8366628,8513497,8602865
UF,Amapá,797722,829494,845731
UF,Tocantins,1550194,1555229,1572866
UF,Maranhão,7000229,7035055,7075181
UF,Piauí,3219257,3264531,3273227
UF,Ceará,9020460,9075649,9132078
UF,Rio Grande do Norte,3507003,3479010,3506853
UF,Paraíba,4025558,3996496,4018127
UF,Pernambuco,9473266,9496294,9557071
UF,Alagoas,3375823,3322820,3337357
UF,Sergipe,2288116,2278308,2298696
UF,Bahia,15344447,14812617,14873064
UF,Minas Gerais,21119536,21040662,21168791
UF,Espírito Santo,4016356,3972388,4018650
UF,Rio de Janeiro,16718956,17159960,17264943
UF,São Paulo,45094866,45538936,45919049
UF,Paraná,11320892,11348937,11433957
UF,Santa Catarina,7001161,7075494,7164788
UF,Rio Grande do Sul,11322895,11329605,11377239
UF,Mato Grosso do Sul,2713147,2748023,2778986
UF,Mato Grosso,3344544,3441998,3484466
UF,Goiás,6778772,6921161,7018354
UF,Distrito Federal,3039444,2974703,3015268
